Feature,Importance
num__coding_skills,0.4042919451912862
num__aptitude_score,0.3718670865795617
num__cgpa,0.20396993930314614
num__student_id,0.00473469662135452
num__communication_skills,0.001963453322315925
num__projects,0.0018531227004411402
num__internships,0.001835072493748988
cat__degree_BCA,0.0014831580682525243
num__age,0.0014100070834825468
num__certifications,0.0013880197473730693
num__backlogs,0.0010297266238724978
cat__degree_BSc,0.0006746855583380056
cat__branch_DS,0.0005682756705895723
cat__degree_BTech,0.0005071848751941894
cat__branch_Mechanical,0.0004879310917483044
cat__branch_IT,0.00041713489910625396
cat__gender_Male,0.0003589345812502877
cat__degree_BE,0.0003409325638398296
cat__branch_Electrical,0.00031452418916116964
cat__gender_Female,0.00024114051768234896
cat__branch_AI,0.0001543656220531319
cat__branch_CS,0.00010866269620154984
